,index,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Fajr_start,Fajr_end,Dhuhr_start,Dhuhr_end,Asr_start,Asr_end,Maghrib_start,Maghrib_end,Isha_start,Isha_end,SleepStart,SleepEnd,NapStart,NapEnd
76,2023-07-16,02:17 AM,04:40,12:49 PM,05:07 PM,08:55 PM,11:05 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:07 PM,05:12 PM,08:55 PM,09:00 PM,11:05 PM,11:10 PM,10:17 PM,02:17 AM,01:19 PM,02:19 PM
77,2023-07-17,02:18 AM,04:42,12:49 PM,05:07 PM,08:54 PM,11:04 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:07 PM,05:12 PM,08:54 PM,08:59 PM,11:04 PM,11:09 PM,10:18 PM,02:18 AM,01:19 PM,02:19 PM
78,2023-07-18,02:18 AM,04:43,12:49 PM,05:07 PM,08:53 PM,11:04 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:07 PM,05:12 PM,08:53 PM,08:58 PM,11:04 PM,11:09 PM,10:18 PM,02:18 AM,01:19 PM,02:19 PM
79,2023-07-19,02:19 AM,04:44,12:49 PM,05:06 PM,08:52 PM,11:04 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:06 PM,05:11 PM,08:52 PM,08:57 PM,11:04 PM,11:09 PM,10:19 PM,02:19 AM,01:19 PM,02:19 PM
80,2023-07-20,02:19 AM,04:45,12:49 PM,05:06 PM,08:51 PM,11:03 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:06 PM,05:11 PM,08:51 PM,08:56 PM,11:03 PM,11:08 PM,10:19 PM,02:19 AM,01:19 PM,02:19 PM
81,2023-07-21,02:20 AM,04:47,12:49 PM,05:06 PM,08:50 PM,11:03 PM,03:42 AM,03:47 AM,11:49 AM,01:49 PM,05:06 PM,05:11 PM,08:50 PM,08:55 PM,11:03 PM,11:08 PM,10:20 PM,02:20 AM,01:19 PM,02:19 PM
82,2023-07-22,02:21 AM,04:48,12:49 PM,05:05 PM,08:48 PM,11:02 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:05 PM,05:10 PM,08:48 PM,08:53 PM,11:02 PM,11:07 PM,10:21 PM,02:21 AM,01:19 PM,02:19 PM
83,2023-07-23,02:21 AM,04:49,12:49 PM,05:05 PM,08:47 PM,11:02 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:05 PM,05:10 PM,08:47 PM,08:52 PM,11:02 PM,11:07 PM,10:21 PM,02:21 AM,01:19 PM,02:19 PM
84,2023-07-24,02:22 AM,04:51,12:49 PM,05:04 PM,08:46 PM,11:01 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:04 PM,05:09 PM,08:46 PM,08:51 PM,11:01 PM,11:06 PM,10:22 PM,02:22 AM,01:19 PM,02:19 PM
85,2023-07-25,02:22 AM,04:52,12:49 PM,05:04 PM,08:44 PM,11:00 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:04 PM,05:09 PM,08:44 PM,08:49 PM,11:00 PM,11:05 PM,10:22 PM,02:22 AM,01:19 PM,02:19 PM
86,2023-07-26,02:23 AM,04:54,12:49 PM,05:03 PM,08:43 PM,11:00 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:03 PM,05:08 PM,08:43 PM,08:48 PM,11:00 PM,11:05 PM,10:23 PM,02:23 AM,01:19 PM,02:19 PM
87,2023-07-27,02:23 AM,04:55,12:49 PM,05:03 PM,08:42 PM,10:59 PM,03:42 AM,03:47 AM,12:49 PM,12:54 PM,05:03 PM,05:08 PM,08:42 PM,08:47 PM,10:59 PM,11:04 PM,10:23 PM,02:23 AM,01:19 PM,02:19 PM
